repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,be3fb29904a23322bd3cef7752df517fabdc188a,rickhanlonii,2026-01-17T18:21:46Z,web-flow,2026-01-17T18:21:46Z,[internal] revert change merged accidentally (#35546)  I accidentally pushed this to new flag to https://github.com/facebook/react/pull/35541 and then merged it.  Reverting it so I can submit a review.
facebook/react,23e5edd05c1f89dc7a23452afabd02003c225858,rickhanlonii,2026-01-17T17:46:05Z,web-flow,2026-01-17T17:46:05Z,[flags] clean up enableUseEffectEventHook (#35541)  This is landed everywhere
golang/go,dd39dfb534d2badf1bb2d72d98bb13cad991fda2,rsc,2026-01-17T14:55:10Z,rsc,2026-01-22T21:16:03Z,all: update to Unicode 17  Process: - Disable unicode TestProperties. - Run UNICODE_VERSION=17.0.0 go -C ../src/golang.org/x/text generate - Run go generate strconv - Update unicode TestProperties by hand to add missing test cases.  This will break x/text using the main repo until the corresponding 
golang/go,2baa1d17628bb2f09757617382b1e61f1f9f0ddd,fengyoulin,2026-01-17T06:20:22Z,gopherbot,2026-01-21T15:22:46Z,"runtime: remove the unused scanIdx from mspan  After CL 700496, mspan.scanIdx is never used, this CL just remove it.  Change-Id: I41ce9902957c0cfa6fbf26b66a2a7787b179376a Reviewed-on: https://go-review.googlesource.com/c/go/+/737220 LUCI-TryBot-Result: Go LUCI <golang-scoped@luci-project-accounts.ia"
apache/spark,69f1d5c5e4616265f7fc3300febbddc6d7a05c89,devin-petersohn,2026-01-17T03:42:23Z,huaxingao,2026-01-17T03:42:23Z,[SPARK-55025][PS] Improve performance in pandas by using list comprehension  ### What changes were proposed in this pull request?  Improve the performance of various metadata and precomputing operations in pandas by using list comprehension.  ### Why are the changes needed?  Performance and maintain
apache/spark,84f978ae6b426940f5d7f859a6a1f4da9ebaa9ce,devin-petersohn,2026-01-17T03:30:26Z,huaxingao,2026-01-17T03:30:26Z,"[SPARK-46165][PS] Add support for pandas.DataFrame.all axis=1  ### What changes were proposed in this pull request?  Add support for `pandas.DataFrame.any` axis=1  ### Why are the changes needed?  To support a missing API parameter  ### Does this PR introduce _any_ user-facing change?  Yes, new para"
apache/spark,e6c97ebf3f0fc0c19e858165c5c28082b0d0311d,gaogaotiantian,2026-01-17T01:04:12Z,zhengruifeng,2026-01-17T01:04:12Z,"[SPARK-54337][PS][TESTS][FOLLOWUP] Fix test_arrow_c_stream when pandas/arrow does not exist  ### What changes were proposed in this pull request?  Like all other tests, a test can't just `import pyarrow` or `import pandas`.  ### Why are the changes needed?  https://github.com/apache/spark/actions/ru"
apache/spark,5688ee00b474a626124c1d704041ebdc0c5382ce,ericm-db,2026-01-17T00:13:35Z,anishshri-db,2026-01-17T00:13:35Z,"[SPARK-55057][SS] Add streaming source naming infrastructure and resolution pipeline  ### What changes were proposed in this pull request?  This PR implements the infrastructure and resolution pipeline for named streaming sources, enabling stable checkpoint paths for query evolution.  **1. Error Inf"
langchain-ai/langchain,a6e8c8387882005081716821e0b55e53ed390cbf,dependabot[bot],2026-01-17T06:07:59Z,web-flow,2026-01-17T06:07:59Z,chore(deps): bump langgraph-checkpoint from 2.1.2 to 3.0.0 in /libs/cli in the uv group across 1 directory (#34787)  Bumps the uv group with 1 update in the /libs/cli directory: [langgraph-checkpoint](https://github.com/langchain-ai/langgraph).  Updates `langgraph-checkpoint` from 2.1.2 to 3.0.0 <de
langchain-ai/langchain,0d3c4e9817c343ab311e2dc07934ce2cd49df45b,mdrxy,2026-01-17T06:07:33Z,web-flow,2026-01-17T06:07:33Z,docs(langchain): nit (#34788)
langchain-ai/langchain,89e159419601935bd256e163130ea31ddfadc113,dependabot[bot],2026-01-17T03:28:13Z,web-flow,2026-01-17T03:28:13Z,chore(deps): bump the uv group across 5 directories with 5 updates (#34785)  Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.  [//]: # (dependabot-automerge-start) [//]: # (dependabot
