repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,65eec428c40d542d4d5a9c1af5c3f406aecf3440,jenseng,2025-12-18T10:34:15Z,web-flow,2025-12-18T10:34:15Z,Use `FormData` `submitter` parameter (#29028)
facebook/react,454fc41fc7d50f8abbcfb9595b01e8ea8bfcc265,unstubbable,2025-12-17T17:08:16Z,web-flow,2025-12-17T17:08:16Z,"[test] Add tests for cyclic arrays in Flight and Flight Reply (#35347)  We already had tests for cyclic objects, but not for cyclic arrays."
facebook/react,f93b9fd44b576c1e0233f854cd986cbf08b7a5c4,sebmarkbage,2025-12-17T14:37:43Z,web-flow,2025-12-17T14:37:43Z,"Skip hydration errors when a view transition has been applied (#35380)  When the Fizz runtime runs a view-transition we apply `view-transition-name` and `view-transition-class` to the `style`. These can be observed by Fiber when hydrating which incorrectly leads to hydration errors.  More over, even"
facebook/react,b731fe28cc492cb36c51c89866f5b63a3ffae2aa,cvan20191,2025-12-17T11:22:26Z,web-flow,2025-12-17T11:22:26Z,Improve cyclic thenable detection in ReactFlightReplyServer (#35369)  ## Summary  This PR improves cyclic thenable detection in `ReactFlightReplyServer.js`. Fixes #35368. The previous fix only detected direct self-references (`inspectedValue === chunk`) and relied on the `cycleProtection` counter to
facebook/react,88ee1f595572b1dcf8f45897cb115b4bbd1aefb8,jackpope,2025-12-15T23:59:27Z,web-flow,2025-12-15T23:59:27Z,Add reporting modes for react-hooks/exhaustive-effect-dependencies and temporarily enable (#35365)  `react-hooks/exhaustive-effect-dependencies` from `ValidateExhaustiveDeps` reports errors for both missing and extra effect deps. We already have `react-hooks/exhaustive-deps` that errors on missing d
facebook/react,bcf97c7564cbe0c903a16a8d6ff52f124f2f06ff,emily8rown,2025-12-15T13:41:43Z,web-flow,2025-12-15T13:41:43Z,"Devtools disable log dimming strict mode setting (#35207)  <!--  1. Fork [the repository](https://github.com/facebook/react) and create your branch from `main`.   2. Run `yarn` in the repository root. 3. If you've fixed a bug or added code that should be tested, add tests! 4. Ensure the test suite p"
facebook/react,ba5b843692519a226347aecfb789d90fcb24b4bc,eps1lon,2025-12-15T10:45:17Z,web-flow,2025-12-15T10:45:17Z,[test] Exclude repository root from assertions (#35361)
facebook/react,b061b597f77c979531a3f2c9c04ba435342b0043,jackpope,2025-12-12T14:06:31Z,web-flow,2025-12-12T14:06:31Z,Upgrade nextjs for compiler playground (#35353)  Upgrading due to CVE-2025-55183 and CVE-2025-67779
facebook/react,38a6f4e4a11f128a2f83047c5e64512f7678d450,jorge-cab,2025-12-12T00:36:36Z,web-flow,2025-12-12T00:36:36Z,"[compiler] Only run validations with env.logErrors on outputMode: 'lint' (#35216)  Summary: These validations are not essential for compilation, with this we only run that logic when outputMode is 'lint'  Test Plan: Update fixtures and run tests"
facebook/react,b85cf6af3de99dce3674dadebcc1493b77a64606,nathanmarks,2025-12-11T23:02:05Z,web-flow,2025-12-11T23:02:05Z,"[compiler] Fix VariableDeclarator source location (#35348)  Putting up https://github.com/facebook/react/pull/35129 again Reverted in https://github.com/facebook/react/pull/35346 after breaking main before security patch  This change impacts output formatting in a lot of snaps, so is very sensitive "
facebook/react,b45bb335db5b3632329d6b41e5a790ff6f1a7ff7,sebmarkbage,2025-12-11T22:23:01Z,web-flow,2025-12-11T22:23:01Z,[Flight] Add extra loop protection (#35351)  In case we get into loops.
facebook/react,80cb7a99255fb030bf11cb8a8298d94f379563c7,sebmarkbage,2025-12-11T20:27:07Z,web-flow,2025-12-11T20:27:07Z,"Revert ""[compiler] Fix VariableDeclarator source location (#35129)"" (#35346)  This broke main."
facebook/react,894bc73cb493487c48d57f4508e6278db58e673a,sebmarkbage,2025-12-11T20:24:24Z,web-flow,2025-12-11T20:24:24Z,[Flight] Patch Promise cycles and toString on Server Functions (#35345)  Server Functions can be stringified (sometimes implicitly) when passed as data. This adds an override to hide the source code in that case - just in case someone puts sensitive information in there.  Note that this still preser
