repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35431,Bug:,closed,Mohammadrafi10,2025-12-31T18:46:12Z,2026-01-01T03:06:32Z,2026-01-01T03:06:32Z,1,"[""Status: Unconfirmed""]",False
facebook/react,35429,[compiler] Fix Symbol shadowing in generated code,closed,kenanAST,2025-12-31T07:46:08Z,2025-12-31T08:17:47Z,2025-12-31T08:17:08Z,1,[],True
facebook/react,35428,fix: Add deprecation warning for removed flushSync API,open,gabrielfranca95,2025-12-30T19:48:08Z,2026-01-09T06:11:50Z,,4,"[""CLA Signed""]",True
facebook/react,35427,Dedupe effect dev warning,open,Don-Erfano,2025-12-30T12:12:29Z,2026-01-09T06:11:01Z,,3,"[""CLA Signed""]",True
facebook/react,35426,Fix controlled select reset behavior after form action,open,xuanxuan321,2025-12-30T06:15:53Z,2025-12-30T07:18:16Z,,2,"[""CLA Signed""]",True
facebook/react,35424,react-reconciler: flushSync was renamed to flushSyncFromReconciler without deprecation notice,open,remorses,2025-12-29T10:39:57Z,2026-01-23T09:19:40Z,,3,[],False
facebook/react,35423,Fix lazy thenable suspension race,open,leeguooooo,2025-12-29T02:58:08Z,2026-01-16T16:59:03Z,,4,"[""CLA Signed""]",True
facebook/react,35421,"[DevTools Bug] Cannot reorder children for suspense node ""333"" because no matching node was found in the Store.",open,angularbinh2020,2025-12-28T11:43:37Z,2026-01-20T00:06:07Z,,4,"[""Type: Bug"", ""Status: Unconfirmed"", ""Component: Developer Tools""]",False
facebook/react,35420,Fix Report: ESLint Rules of Hooks Bug in Default Export Arrow Functions,open,afurm,2025-12-28T09:18:23Z,2025-12-28T09:18:29Z,,0,"[""CLA Signed""]",True
facebook/react,35419,[compiler] Fix setState-in-effect for React.useEffect namespace calls (#35377),closed,AntonChesnokov,2025-12-27T10:14:55Z,2026-02-07T11:32:33Z,2026-02-04T16:07:18Z,3,"[""CLA Signed""]",True
facebook/react,35418,Fix: Handle stale executionContext after breakpoint/alert interruption,open,hassanzadeh-mj,2025-12-27T07:07:11Z,2026-01-03T09:17:15Z,,3,"[""CLA Signed""]",True
facebook/react,35416,fix: add missing useState import in test fixture,open,PGrayCS,2025-12-26T15:13:14Z,2025-12-26T15:13:20Z,,1,[],True
facebook/react,35415,Fix/unhandled promise rejection stylesheet loading,open,Lihexs,2025-12-26T09:51:40Z,2025-12-26T09:51:46Z,,0,"[""CLA Signed""]",True
facebook/react,35414,fix: Handle unhandled promise rejection in stylesheet loading,closed,Lihexs,2025-12-26T09:19:30Z,2025-12-26T10:23:43Z,2025-12-26T09:39:55Z,1,"[""CLA Signed""]",True
facebook/react,35413,eslint-plugin-react-hooks: allow explicit undefined deps,open,leeguooooo,2025-12-26T06:17:58Z,2025-12-26T06:18:09Z,,0,"[""CLA Signed""]",True
facebook/react,35412,eslint-plugin-react-hooks: flag optional hook calls,open,leeguooooo,2025-12-26T06:17:44Z,2025-12-27T01:48:17Z,,1,"[""CLA Signed""]",True
facebook/react,35411,eslint-plugin-react-hooks: disallow hook arguments,open,leeguooooo,2025-12-26T06:17:31Z,2025-12-27T01:48:38Z,,1,"[""CLA Signed""]",True
facebook/react,35410,done,closed,Dipesh-Kumar1,2025-12-25T21:34:28Z,2025-12-25T23:39:39Z,2025-12-25T21:42:52Z,1,[],True
facebook/react,35409,Spam,closed,sueannioanis,2025-12-25T16:56:58Z,2025-12-26T00:43:35Z,2025-12-25T18:30:30Z,0,"[""CLA Signed""]",True
facebook/react,35408,Add Md Mushfiqur Rahim to contributors list,closed,MD-Mushfiqur123,2025-12-25T10:15:38Z,2025-12-25T21:57:34Z,2025-12-25T10:42:30Z,14,[],True
facebook/react,35406,add space line 29,closed,Inge-isaac,2025-12-24T22:33:52Z,2025-12-25T00:13:32Z,2025-12-25T00:13:32Z,1,[],True
facebook/react,35405,test,closed,CharlieEriksen,2025-12-24T19:24:55Z,2025-12-24T19:28:08Z,2025-12-24T19:28:08Z,1,[],True
facebook/react,35404,[eprh] Check for namespaced useEffectEvent,open,chirokas,2025-12-24T08:19:49Z,2026-02-05T08:25:21Z,,1,"[""CLA Signed""]",True
facebook/react,35403,Add Deno CI workflow for linting and testing,closed,kaykwanele22,2025-12-23T10:45:38Z,2025-12-23T13:54:17Z,2025-12-23T13:54:16Z,4,"[""CLA Signed""]",True
facebook/react,35402,"[DevTools Bug] Commit tree already contains fiber ""536"". This is a bug in React DevTools.",open,Rexjun01,2025-12-23T08:43:46Z,2026-02-07T22:09:39Z,,3,"[""Type: Bug"", ""Status: Unconfirmed"", ""Component: Developer Tools""]",False
facebook/react,35401,Re-enable Activity in config panel,open,afurm,2025-12-21T17:41:23Z,2025-12-21T17:41:41Z,,0,"[""CLA Signed""]",True
facebook/react,35400,Add ReactChildren test for single-child key patterns,open,afurm,2025-12-21T16:57:38Z,2025-12-21T17:20:22Z,,8,"[""CLA Signed""]",True
facebook/react,35399,Bug: resolveLazy catching promises causes race condition with short-lived Suspense-wrapped components,closed,TomLaVachette,2025-12-21T13:15:39Z,2026-01-16T18:04:58Z,2026-01-16T18:04:57Z,4,"[""Status: Unconfirmed""]",False
facebook/react,35398,DevTools: Fix nested HOC name extraction in extractHOCNames,open,TerryTaoYY,2025-12-21T05:05:46Z,2025-12-21T05:11:54Z,,2,"[""CLA Signed""]",True
facebook/react,35397,Bug: Nested providers for the same context will lead to unnecessary render calls when only the outside context value changed  (React 19 only),open,thomasjahoda,2025-12-20T17:36:35Z,2025-12-20T17:48:47Z,,0,"[""Status: Unconfirmed""]",False
facebook/react,35396,[DevTools Bug]:,closed,ivanm696,2025-12-20T12:58:15Z,2026-01-07T00:22:18Z,2026-01-07T00:22:18Z,0,"[""Type: Bug"", ""Status: Unconfirmed"", ""Component: Developer Tools""]",False
facebook/react,35395,"Perf: react-hooks ESLint plugin (eslint-plugin-react-hooks) rules are extremely slow, dominating lint time",open,jordan-cutler,2025-12-19T22:30:46Z,2026-01-27T05:41:29Z,,15,"[""Type: Feature Request"", ""Component: React Compiler"", ""Component: ESLint Rules""]",False
facebook/react,35394,Bug: `eslint-plugin-react-hooks` hides all errors on multiple findings,open,trapgar,2025-12-19T18:39:27Z,2026-01-05T00:06:55Z,,9,"[""Status: Unconfirmed""]",False
facebook/react,35393,Bug:,closed,RIMKALAND,2025-12-19T18:25:13Z,2026-01-07T00:22:31Z,2026-01-07T00:22:31Z,0,"[""Status: Unconfirmed""]",False
facebook/react,35392,[flags] Add `enableParallelTransitions`,closed,rickhanlonii,2025-12-19T16:42:54Z,2026-02-04T18:58:38Z,2026-02-04T18:58:34Z,3,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35391,Use globalThis.Symbol.for to avoid Symbol shadowing,closed,Mudavath-Giri-Naik,2025-12-19T09:18:02Z,2025-12-19T09:31:30Z,2025-12-19T09:31:20Z,2,[],True
facebook/react,35390,[Compiler Bug]: useEffectEvent bypasses react-hooks/set-state-in-effect lint rule,open,zyzo,2025-12-19T08:59:05Z,2025-12-21T19:19:37Z,,0,"[""Type: Bug"", ""Status: Unconfirmed""]",False
facebook/react,35389,Bug: react-devtools 7.0.1 - Electron failed to install correctly,open,dougg0k,2025-12-18T19:10:54Z,2025-12-29T21:22:17Z,,0,"[""Status: Unconfirmed""]",False
facebook/react,35388,Add failing test for #35387,closed,gaearon,2025-12-17T18:23:56Z,2025-12-18T02:02:45Z,2025-12-18T02:02:44Z,2,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35387,Bug: Transition never resolves when nesting Suspense,closed,gaearon,2025-12-17T18:15:20Z,2025-12-18T09:29:44Z,2025-12-18T02:02:05Z,4,"[""Status: Unconfirmed""]",False
facebook/react,35386,[Compiler Bug]: .map() callback extracted to module scope breaks closure over locally-scoped variables,open,Omarov3000,2025-12-17T12:28:58Z,2025-12-17T12:30:13Z,,0,"[""Type: Bug"", ""Status: Unconfirmed""]",False
facebook/react,35385,dinesh added,closed,Dineshcs234,2025-12-17T10:50:13Z,2025-12-17T10:57:42Z,2025-12-17T10:57:42Z,2,[],True
facebook/react,35384,Add helpful suggestion for `use(uncachedPromise)`.,open,cpojer,2025-12-17T10:28:01Z,2025-12-17T10:34:15Z,,2,"[""CLA Signed""]",True
facebook/react,35383,fix(compiler): use globalThis.Symbol to prevent shadowing by user components,open,gowthamrdyy,2025-12-17T10:25:13Z,2025-12-17T10:34:57Z,,0,"[""CLA Signed""]",True
facebook/react,35382,test(compiler): remove obsolete fixtures,closed,Nietzsche-Ubermensch,2025-12-17T06:45:47Z,2025-12-17T07:35:47Z,2025-12-17T07:35:47Z,2,[],True
facebook/react,35381,Bug: I have found one issue on your blog.,open,mahesh-yadav-hipl,2025-12-17T06:13:50Z,2026-01-05T22:44:02Z,,2,"[""Status: Unconfirmed""]",False
