full_name,name,owner_login,description,language,created_at,updated_at,pushed_at,stargazers_count,watchers_count,forks_count,open_issues_count,size,default_branch,has_wiki,has_pages,archived,disabled,license_name,topics,network_count,subscribers_count,snapshot_date
facebook/react,react,facebook,The library for web and native user interfaces.,JavaScript,2013-05-24T16:15:54Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,234679,242512,50265,1094,919445,main,False,True,False,False,MIT,"[""declarative"", ""frontend"", ""javascript"", ""library"", ""react"", ""ui""]",50381,6670,2025-12-31
tensorflow/tensorflow,tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,2015-11-07T01:19:20Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,186028,193299,74685,3370,1259107,master,False,False,False,False,Apache-2.0,"[""deep-learning"", ""deep-neural-networks"", ""distributed"", ""machine-learning"", ""ml"", ""neural-network"", ""python"", ""tensorflow""]",74912,7397,2025-12-31
microsoft/vscode,vscode,microsoft,Visual Studio Code,TypeScript,2015-09-03T20:23:38Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,173529,181211,37682,13452,1126557,main,True,False,False,False,MIT,"[""editor"", ""electron"", ""microsoft"", ""typescript"", ""visual-studio-code""]",37707,3397,2025-12-31
torvalds/linux,linux,torvalds,Linux kernel source tree,C,2011-09-04T22:48:12Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,210144,216582,60047,4,5965046,master,False,False,False,False,NOASSERTION,[],60166,7999,2025-12-31
golang/go,go,golang,The Go programming language,Go,2014-08-19T04:33:40Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,127627,132128,18668,9606,425542,master,True,False,False,False,BSD-3-Clause,"[""go"", ""golang"", ""language"", ""programming-language""]",18737,3333,2025-12-31
apache/spark,spark,apache,Apache Spark - A unified analytics engine for large-scale data processing,Scala,2014-02-25T08:00:08Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,41623,42696,28887,221,536690,master,False,True,False,False,Apache-2.0,"[""big-data"", ""java"", ""jdbc"", ""python"", ""r"", ""scala"", ""spark"", ""sql""]",28963,2005,2025-12-31
langchain-ai/langchain,langchain,langchain-ai,🦜🔗 The platform for reliable agents.,Python,2022-10-17T02:58:36Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,122005,126191,20656,391,514963,master,False,False,False,False,MIT,"[""agents"", ""ai"", ""ai-agents"", ""anthropic"", ""chatgpt"", ""deepagents"", ""enterprise"", ""framework"", ""gemini"", ""generative-ai"", ""langchain"", ""langgraph"", ""llm"", ""multiagent"", ""open-source"", ""openai"", ""pydantic"", ""python"", ""rag""]",20714,810,2025-12-31
pallets/flask,flask,pallets,The Python micro framework for building web applications.,Python,2010-04-06T11:11:59Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,68234,71017,16592,5,11559,main,False,False,False,False,BSD-3-Clause,"[""flask"", ""jinja"", ""pallets"", ""python"", ""web-framework"", ""werkzeug"", ""wsgi""]",16638,2088,2025-12-31
docker/compose,compose,docker,Define and run multi-container applications with Docker,Go,2013-12-09T11:40:58Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,35497,36896,5669,29,27615,main,False,False,False,False,Apache-2.0,"[""docker"", ""docker-compose"", ""go"", ""golang"", ""orchestration""]",5691,696,2025-12-31
duckdb/duckdb,duckdb,duckdb,DuckDB is an analytical in-process SQL database management system,C++,2018-06-26T15:04:45Z,2025-12-31T12:00:00Z,2025-12-31T10:00:00Z,34473,35938,2903,588,410689,main,False,False,False,False,MIT,"[""analytics"", ""database"", ""embedded-database"", ""olap"", ""sql""]",2912,241,2025-12-31
